Name,Price,Author,Date,Publisher,Comment,sales
机器学习算法实践——推荐系统的协同过滤理论及其应用 ,54.5,王建芳,11/1/2018,清华大学出版社,296,95185
深入浅出：工业机器学习算法详解与实战 ,54.5,张朝阳,1/10/2020,机械工业出版社,118,269078
多智能体机器学习：强化学习方法 ,54.5,霍华德M施瓦兹,7/10/2017,机械工业出版社,710,157058
机器学习：基于OpenCV和Python的智能图像处理 ,54.5,高敬鹏,5/25/2020,机械工业出版社,14,234738
机器学习实践指南 ,62.4,阿图尔·特里帕蒂,3/30/2017,机械工业出版社,53,152492
Julia机器学习核心编程：人人可用的高性能科学计算,70.3,朱红庆,9/1/2019,电子工业出版社,80,292212
机器学习及其应用 ,118.1,戈帕尔,5/28/2020,机械工业出版社,0,248293
机器学习在线：解析阿里云机器学习平台,62.4,杨旭,8/1/2017,电子工业出版社,627,289450
Python编程从数据分析到机器学习实践（微课视频版） ,68.8,刘瑜,2/1/2020,水利水电出版社,304,288842
机器学习 ,62.4,弗拉赫,1/1/2016,人民邮电出版社,2573,106078
视觉机器学习20讲 ,38.7,谢剑斌,6/1/2015,清华大学出版社,825,282664
机器学习基础,29.8,,10/1/2018,清华大学出版社,56,159156
R语言机器学习：实用案例分析 ,46.6,拉格哈夫·巴利,6/8/2017,机械工业出版社,119,267197
机器学习系统 ,41.2,杰夫·史密斯,9/1/2019,清华大学出版社,105,244317
Python机器学习核心算法编程实例,71.8,丁伟雄,1/1/2020,电子工业出版社,57,49171
Python机器学习实践指南 ,54.5,Alexander,4/1/2017,人民邮电出版社,6790,210661
深入理解机器学习：从原理到算法 ,62.4,沙伊·沙莱夫,7/18/2016,机械工业出版社,1836,227022
数据流机器学习：MOA实例 ,54.5,阿尔伯特·比费特,12/9/2019,机械工业出版社,55,26454
python在机器学习中的应用 ,54.3,余本国,6/1/2019,水利水电出版社,665,26890
机器视觉与机器学习 ,81.4,宋丽梅,6/12/2020,机械工业出版社,2,150515
机器学习开发者指南 ,39.6,鲁道夫·邦宁,5/1/2020,人民邮电出版社,27,171662
